Student_ID,Student_Name,College_Name,Total_Sessions,Sessions_Attended,Average_Attendance_Minutes,Attendance_Percentage,Attendance_Std,Consistency_Score,Domain_Participation_Count,Engagement_Score,Certified,Predicted_Certified
ST0001,Sai Reddy,VIT AP,40,37,48.7,92.5,14.72,85.28,1,76.83,1,1
ST0004,Praveen Gupta,Gudlavalleru Engg,40,33,43.48,82.5,20.68,79.32,1,70.05,1,1
ST0009,Vikram Singh,Gudlavalleru Engg,40,36,46.3,90.0,16.2,83.8,1,75.14,1,1
ST0010,Teja Kumar,RGUKT,40,37,49.65,92.5,14.87,85.13,1,76.79,1,1
ST0011,Divya Verma,NRI Institute,40,40,51.4,100.0,4.07,95.93,1,83.78,1,1
ST0012,Varun Rao,GITAM,40,32,41.08,80.0,21.21,78.79,1,68.64,1,1
ST0014,Rohit Patel,VNR VJIET,40,40,52.8,100.0,5.04,94.96,1,83.49,1,1
ST0016,Akhil Patel,LBRCE,40,37,49.35,92.5,15.04,84.96,1,76.74,1,1
ST0019,Teja Yadav,Bapatla Engg,40,35,46.25,87.5,18.26,81.74,1,73.27,1,1
ST0020,Nikhil Reddy,CBIT,40,39,50.88,97.5,9.37,90.63,1,80.94,1,1
ST0021,Rohit Singh,AEC,40,34,43.75,85.0,19.07,80.93,1,71.78,1,1
ST0024,Varun Verma,ANITS,40,40,51.48,100.0,4.59,95.41,1,83.62,1,1
ST0027,Pooja Sharma,KITS,40,40,51.72,100.0,4.67,95.33,1,83.6,1,1
ST0030,Teja Kumar,Andhra Loyola,40,32,41.02,80.0,21.23,78.77,1,68.63,1,1
ST0031,Harsha Kumar,Malla Reddy,40,38,50.48,95.0,12.56,87.44,1,78.73,1,1
ST0032,Pooja Rao,Prasad V Potluri,40,38,49.08,95.0,12.32,87.68,1,78.8,1,1
ST0033,Varun Gupta,ANITS,40,34,44.2,85.0,19.33,80.67,1,71.7,1,1
ST0035,Nikhil Patel,KITS,40,39,50.22,97.5,9.48,90.52,1,80.91,1,1
ST0036,Akhil Singh,JNTUH,40,34,44.9,85.0,19.69,80.31,1,71.59,1,1
ST0037,Rohit Patel,MREC,40,32,42.38,80.0,21.83,78.17,1,68.45,1,1
ST0039,Nikhil Kumar,JNTUH,40,38,51.22,95.0,12.56,87.44,1,78.73,1,1
ST0040,Praveen Singh,Gudlavalleru Engg,40,35,45.22,87.5,17.94,82.06,1,73.37,1,1
ST0042,Anil Sharma,MREC,40,35,45.8,87.5,18.13,81.87,1,73.31,1,1
ST0046,Jay Naidu,VNR VJIET,40,32,40.65,80.0,20.96,79.04,1,68.71,1,1
ST0048,Arjun Singh,CBIT,40,37,48.6,92.5,14.58,85.42,1,76.88,1,1
ST0049,Teja Yadav,NRI Institute,40,33,43.5,82.5,20.78,79.22,1,70.02,1,1
ST0050,Teja Kumar,Gudlavalleru Engg,40,40,53.35,100.0,4.84,95.16,1,83.55,1,1
ST0055,Varun Yadav,JNTUK,40,39,50.12,97.5,9.25,90.75,1,80.98,1,1
ST0056,Rahul Sharma,Gudlavalleru Engg,40,40,54.02,100.0,4.5,95.5,1,83.65,1,1
ST0059,Rahul Rao,RGUKT,40,40,52.65,100.0,4.32,95.68,1,83.7,1,1
ST0060,Arjun Naidu,Narasaraopeta Engg,40,40,53.42,100.0,4.56,95.44,1,83.63,1,1
ST0061,Anil Naidu,CBIT,40,35,45.98,87.5,18.18,81.82,1,73.3,1,1
ST0065,Akhil Gupta,KL University,40,35,45.78,87.5,17.94,82.06,1,73.37,1,1
ST0066,Jay Verma,RGUKT,40,37,48.05,92.5,14.57,85.43,1,76.88,1,1
ST0067,Arjun Yadav,Andhra Loyola,40,32,41.92,80.0,21.68,78.32,1,68.49,1,1
ST0069,Praveen Gupta,LBRCE,40,38,48.92,95.0,12.23,87.77,1,78.83,1,1
ST0071,Sai Gupta,AEC,40,37,49.2,92.5,14.62,85.38,1,76.86,1,1
ST0072,Pooja Singh,Gudlavalleru Engg,40,40,51.72,100.0,4.69,95.31,1,83.59,1,1
ST0074,Harsha Verma,MREC,40,36,45.45,90.0,15.95,84.05,1,75.22,1,1
ST0076,Teja Yadav,VVIT,40,36,46.8,90.0,16.41,83.59,1,75.08,1,1
ST0078,Arjun Patel,VIT AP,40,32,42.88,80.0,22.15,77.85,1,68.36,1,1
ST0079,Arjun Gupta,SRM AP,40,33,44.3,82.5,21.06,78.94,1,69.93,1,1
ST0080,Rohit Singh,Prasad V Potluri,40,32,42.2,80.0,21.75,78.25,1,68.48,1,1
ST0082,Arjun Reddy,KITS,40,39,51.82,97.5,9.66,90.34,1,80.85,1,1
ST0083,Arjun Singh,KL University,40,34,45.78,85.0,19.93,80.07,1,71.52,1,1
ST0086,Arjun Sharma,GITAM,40,36,46.65,90.0,16.3,83.7,1,75.11,1,1
ST0088,Rohit Verma,CBIT,40,36,46.85,90.0,16.27,83.73,1,75.12,1,1
ST0092,Sanjay Sharma,Andhra Loyola,40,32,41.32,80.0,21.36,78.64,1,68.59,1,1
ST0093,Varun Kumar,Gudlavalleru Engg,40,35,45.52,87.5,18.04,81.96,1,73.34,1,1
ST0095,Varun Kumar,Prasad V Potluri,40,40,54.8,100.0,4.33,95.67,1,83.7,1,1
ST0096,Harsha Yadav,VNR VJIET,40,33,42.2,82.5,20.04,79.96,1,70.24,1,1
ST0097,Kiran Naidu,KL University,40,35,46.5,87.5,18.39,81.61,1,73.23,1,1
ST0101,Sai Singh,Prasad V Potluri,40,38,49.75,95.0,12.41,87.59,1,78.78,1,1
ST0102,Divya Patel,Gudlavalleru Engg,40,34,44.05,85.0,19.14,80.86,1,71.76,1,1
ST0103,Sanjay Kumar,MREC,40,36,47.0,90.0,16.48,83.52,1,75.06,1,1
ST0104,Praveen Verma,NRI Institute,40,32,41.1,80.0,21.21,78.79,1,68.64,1,1
