Student_ID,Student_Name,College_Name,Total_Sessions,Sessions_Attended,Average_Attendance_Minutes,Attendance_Percentage,Attendance_Std,Consistency_Score,Domain_Participation_Count,Engagement_Score,Certified,Predicted_Certified
ST0002,Rohit Gupta,Narasaraopeta Engg,40,30,40.98,75.0,24.18,75.82,1,65.25,0,0
ST0003,Harsha Kumar,VNR VJIET,40,28,37.38,70.0,25.01,74.99,1,62.5,0,0
ST0005,Varun Patel,Andhra Loyola,40,27,35.9,67.5,25.5,74.5,1,61.1,0,0
ST0006,Vikram Gupta,Prasad V Potluri,40,30,40.0,75.0,23.75,76.25,1,65.38,0,0
ST0007,Teja Patel,JNTUH,40,24,31.35,60.0,26.14,73.86,1,57.16,0,0
ST0008,Teja Verma,RGUKT,40,24,31.42,60.0,26.2,73.8,1,57.14,0,0
ST0013,Teja Gupta,LBRCE,40,31,41.25,77.5,22.97,77.03,1,66.86,0,0
ST0015,Nikhil Patel,KITS,40,29,38.33,72.5,24.2,75.8,1,63.99,0,0
ST0017,Akhil Rao,VNR VJIET,40,31,41.72,77.5,23.15,76.85,1,66.8,0,0
ST0018,Pooja Reddy,Prasad V Potluri,40,28,36.92,70.0,24.81,75.19,1,62.56,0,0
ST0022,Teja Rao,JNTUK,40,27,35.95,67.5,25.54,74.46,1,61.09,0,0
ST0023,Sai Patel,JNTUH,40,25,32.42,62.5,25.7,74.3,1,58.54,0,0
ST0025,Akhil Kumar,Gudlavalleru Engg,40,24,31.58,60.0,26.26,73.74,1,57.12,0,0
ST0026,Arjun Naidu,JNTUK,40,30,39.25,75.0,23.4,76.6,1,65.48,0,0
ST0028,Arjun Rao,VNR VJIET,40,21,27.6,52.5,26.84,73.16,1,53.2,0,0
ST0029,Keerthana Rao,Gudlavalleru Engg,40,31,40.92,77.5,22.78,77.22,1,66.92,0,0
ST0034,Akhil Singh,Malla Reddy,40,30,38.22,75.0,22.64,77.36,1,65.71,0,0
ST0038,Vikram Yadav,RVRJC,40,25,33.55,62.5,26.67,73.33,1,58.25,0,0
